id,o,d,ta,ca,lane_level,road_type
425,80237513,80237517,4.2,2000,1,tertiary
426,80237513,80237517,4.2,2000,2,tertiary
427,80237513,80234612,12.9,2000,1,tertiary
428,80237513,80234612,12.9,2000,2,tertiary
429,80237513,3103568150,15.9,2000,1,residential
430,80237517,80237513,4.2,2000,1,tertiary
431,80237517,80237513,4.2,2000,2,tertiary
432,80237517,80237525,4.7,2000,1,tertiary
433,80237517,80237525,4.7,2000,2,tertiary
434,80237517,3103568150,14.6,2000,1,residential
435,80237525,80237517,4.7,2000,1,tertiary
436,80237525,80237517,4.7,2000,2,tertiary
437,80237525,80216037,43.6,2000,1,residential
438,80237525,80216037,43.6,2000,2,residential
439,80237525,80299589,27.2,2000,1,tertiary
440,80237525,80299589,27.2,2000,2,tertiary
441,80237525,80259603,11.7,2000,1,tertiary
442,80237525,80259603,11.7,2000,2,tertiary
443,80239039,80239044,9.7,2000,1,residential
444,80239039,80239182,4.6,2000,1,residential
445,80239039,80239047,39.6,2000,1,residential
446,80239044,80224716,8.4,2000,1,residential
447,80239044,80239039,9.7,2000,1,residential
448,80239044,80285440,28.5,2000,1,residential
449,80239047,80224716,7.3,2000,1,residential
450,80239047,80239129,28.2,2000,1,residential
451,80239047,80239039,39.6,2000,1,residential
452,80239129,80285434,35.9,2000,1,residential
453,80239129,80224699,8.1,2000,1,residential
454,80239129,80239047,28.2,2000,1,residential
455,80239182,80239039,4.6,2000,1,residential
456,80239182,80289166,21.6,2000,1,residential
457,80239182,80303405,9.0,2000,1,residential
458,80239311,80230798,43.8,2000,1,residential
459,80239311,80230798,14.0,2000,1,residential
460,80239311,80239323,13.4,2000,1,residential
461,80239323,80230776,7.8,2000,1,residential
462,80239323,80239311,13.4,2000,1,residential
463,80239323,80262877,7.3,2000,1,residential
464,80240030,1351702288,11.8,2000,1,tertiary
465,80240030,5082213148,7.6,2000,1,tertiary
466,80240030,8233204152,5.8,2000,1,residential
467,80240032,1351702288,7.2,2000,1,tertiary
468,80240032,1351702257,17.2,2000,1,residential
469,80240032,80240043,11.3,2000,1,tertiary
470,80240043,80240047,7.1,2000,1,tertiary
471,80240043,80240032,11.3,2000,1,tertiary
472,80240043,80271780,7.0,2000,1,residential
473,80240047,80240043,7.1,2000,1,tertiary
474,80240047,80240157,4.5,2000,1,residential
475,80240047,8191618217,23.7,2000,1,tertiary
476,80240047,80240071,25.9,2000,1,residential
477,80240071,80240047,25.9,2000,1,residential
478,80240144,8191618217,1.4,2000,1,tertiary
479,80240144,80293192,4.3,2000,1,residential
480,80240144,11258114347,27.6,2000,1,tertiary
481,80240144,11258114347,27.6,2000,2,tertiary
482,80240157,80240047,4.5,2000,1,residential
483,80240157,80240164,3.3,2000,1,residential
484,80240157,80271768,18.1,2000,1,residential
485,80240164,80264660,7.9,2000,1,residential
486,80240164,80240157,3.3,2000,1,residential
487,80240164,80304181,36.8,2000,1,residential
488,80240464,80232819,3.8,2000,1,residential
489,80240485,80240513,41.1,2000,1,motorway_link
490,80240485,80240513,41.1,2000,2,motorway_link
491,80240485,8455317758,25.8,2000,1,motorway
492,80240513,1924976143,6.5,2000,1,motorway_link
493,80240513,11258070597,4.3,2000,1,motorway_link
494,80240513,11258070597,4.3,2000,2,motorway_link
495,80240546,80644323,33.8,2000,1,motorway
496,80240594,80264865,8.5,2000,1,residential
497,80240594,80254993,8.5,2000,1,residential
498,80240594,80232844,22.8,2000,1,residential
499,80240594,80240611,13.9,2000,1,residential
500,80240611,80240691,2.6,2000,1,residential
501,80240611,80240630,12.5,2000,1,residential
502,80240611,80240594,13.9,2000,1,residential
503,80240630,80289953,8.5,2000,1,residential
504,80240630,80264865,17.6,2000,1,residential
505,80240630,80240611,12.5,2000,1,residential
506,80240691,80240611,2.6,2000,1,residential
507,80241217,80266344,4.4,2000,1,residential
508,80241220,1351593857,19.2,2000,1,tertiary
509,80241220,1351593857,19.2,2000,2,tertiary
510,80241220,7651257088,7.4,2000,1,residential
511,80241220,7651257088,7.4,2000,2,residential
512,80241323,80237143,25.8,2000,1,residential
513,80241323,80302767,8.0,2000,1,residential
514,80241323,80230884,28.7,2000,1,residential
515,80241342,80237143,16.1,2000,1,residential
516,80241402,80233644,12.5,2000,1,residential
517,80241887,80241889,10.0,2000,1,residential
518,80241887,1903044976,28.8,2000,1,residential
519,80241887,2956003800,5.5,2000,1,residential
520,80241889,1903045991,9.8,2000,1,residential
521,80241889,1903048711,9.0,2000,1,residential
522,80241889,80241887,10.0,2000,1,residential
523,80245572,11658066954,7.9,2000,1,residential
